country,iso3,lat,long,cases,deaths,recovered,active,critical,casesPerOneMillion,population,todayCases,todayDeaths
Afghanistan,AFG,33.0,65.0,234174,7996,211080,15098,0,5746,40754388,0,0
Albania,ALB,41.0,20.0,334863,3605,330233,1025,0,116825,2866374,0,0
Algeria,DZA,28.0,3.0,272010,6881,183061,82068,0,5998,45350148,0,0
Andorra,AND,42.5,1.6,48015,165,0,47850,0,619844,77463,0,0
Angola,AGO,-12.5,18.5,107327,1937,103419,1971,0,3064,35027343,0,0
Anguilla,AIA,18.25,-63.1667,3904,12,0,3892,0,256336,15230,0,0
Antigua and Barbuda,ATG,17.05,-61.8,9106,146,8954,6,0,91509,99509,0,0
Argentina,ARG,-34.0,-64.0,10128845,130841,9997258,746,0,220143,46010234,0,0
Armenia,ARM,40.0,45.0,451831,8777,435162,7892,0,152031,2971966,0,0
Aruba,ABW,12.5,-69.9667,44224,292,42438,1494,2,410969,107609,0,0
Australia,AUS,-27.0,133.0,11853144,24414,11820014,8716,3,454687,26068792,0,0
Austria,AUT,47.3333,13.3333,6081287,22542,6054934,3811,0,670727,9066710,0,0
Azerbaijan,AZE,40.5,47.5,835234,10400,824089,745,0,81089,10300205,0,0
Bahamas,BHS,24.25,-76.0,38084,844,36366,874,1,95087,400516,0,0
Bahrain,BHR,26.0,50.55,729549,1574,727915,60,0,408944,1783983,0,0
Bangladesh,BGD,24.0,90.0,2049377,29493,0,2019884,0,12207,167885689,0,0
Barbados,BRB,13.1667,-59.5333,110578,648,108647,1283,0,383921,288023,0,0
Belarus,BLR,53.0,28.0,994037,7118,985592,1327,0,105381,9432800,0,0
Belgium,BEL,50.8333,4.0,4861695,34376,4826798,521,0,416659,11668278,0,0
Belize,BLZ,17.25,-88.75,71409,688,0,70721,0,173243,412190,0,0
Benin,BEN,9.5,2.25,28036,163,27847,26,0,2193,12784726,0,0
Bermuda,BMU,32.3333,-64.75,18860,165,18685,10,0,304493,61939,0,0
Bhutan,BTN,27.5,90.5,62697,21,61564,1112,0,79571,787941,0,0
Bolivia,BOL,-17.0,-65.0,1212131,22407,1177145,12579,220,101073,11992656,0,0
Bosnia,BIH,44.0,18.0,403615,16388,379084,8143,0,124215,3249317,0,0
Botswana,BWA,-22.0,24.0,330638,2801,327049,788,1,135443,2441162,0,0
Brazil,BRA,-10.0,-55.0,38743918,711380,36249161,1783377,0,179908,215353593,0,0
British Virgin Islands,VGB,18.5,-64.5,7392,64,0,7328,0,241600,30596,0,0
Brunei,BRN,4.5,114.6667,343719,225,243601,99893,3,771655,445431,0,0
Bulgaria,BGR,43.0,25.0,1339851,38748,1292944,8159,22,195753,6844597,0,0
Burkina Faso,BFA,13.0,-2.0,22114,400,21596,118,0,1001,22102838,0,0
Burundi,BDI,-3.5,30.0,54721,38,53569,1114,0,4334,12624840,0,0
Cabo Verde,CPV,16.0,-24.0,64477,417,63755,305,23,113580,567678,0,0
Cambodia,KHM,13.0,105.0,139103,3056,136044,3,0,8102,17168639,0,0
Cameroon,CMR,6.0,12.0,125379,1974,123280,125,0,4492,27911548,0,0
Canada,CAN,60.0,-95.0,4946090,59034,4881312,5744,99,128843,38388419,0,0
Caribbean Netherlands,BES,12.2,-68.26,11682,38,10476,1168,0,438398,26647,0,0
Cayman Islands,CYM,19.5,-80.5,31472,37,8553,22882,1,467797,67277,0,0
Central African Republic,CAF,7.0,21.0,15440,113,15200,127,2,3078,5016678,0,0
Chad,TCD,15.0,19.0,7701,194,4874,2633,0,442,17413580,0,0
Channel Islands,JEY,49.21,-2.13,101717,228,101321,168,0,576421,176463,0,0
Chile,CHL,-30.0,-71.0,5384853,64497,5252450,67906,7,279730,19250195,0,0
China,CHN,35.0,105.0,503302,5272,379053,118977,0,347,1448471400,0,0
Colombia,COL,4.0,-72.0,6400173,143200,6212152,44821,342,124244,51512762,0,0
Comoros,COM,-12.1667,44.25,9109,161,8939,9,0,10038,907419,0,0
Congo,COG,-1.0,15.0,25375,386,24006,983,0,4377,5797805,0,0
Cook Islands,COK,-21.2333,-159.7667,7203,2,7150,51,0,409937,17571,0,0
Costa Rica,CRI,10.0,-84.0,1238883,9428,0,1229455,0,239058,5182354,0,0
Croatia,HRV,45.1667,15.5,1309728,18687,1258432,32609,0,322650,4059286,0,0
Cuba,CUB,21.5,-80.0,1115251,8530,1106660,61,0,98645,11305652,0,0
Curaçao,CUW,12.15,-68.97,45986,295,44720,971,3,277812,165529,0,0
Cyprus,CYP,35.0,33.0,681110,1365,679745,0,0,556741,1223387,0,0
Czechia,CZE,49.75,15.5,4759041,43517,4715206,318,2,443246,10736784,0,0
Côte d'Ivoire,CIV,8.0,-5.0,88384,835,87497,52,0,3186,27742298,0,0
DRC,COD,0.0,25.0,99338,1468,84489,13381,0,1043,95240792,0,0
Denmark,DNK,56.0,10.0,3183756,8814,3174942,0,0,545636,5834950,0,0
Djibouti,DJI,11.5,43.0,15690,189,15427,74,0,15441,1016097,0,0
Dominica,DMA,15.4167,-61.3333,16038,74,15964,0,0,221691,72344,0,0
Dominican Republic,DOM,19.0,-70.6667,675890,4384,671316,190,4,61131,11056370,0,0
Ecuador,ECU,-2.0,-77.5,1070188,36043,1034145,0,0,59083,18113361,0,0
Egypt,EGY,27.0,30.0,516023,24613,442182,49228,122,4861,106156692,0,0
El Salvador,SLV,13.8333,-88.9167,201855,4230,179410,18215,0,30816,6550389,0,0
Equatorial Guinea,GNQ,2.0,10.0,17229,183,16907,139,5,11512,1496662,0,0
Eritrea,ERI,15.0,39.0,10189,103,10086,0,0,2782,3662244,0,0
Estonia,EST,59.0,26.0,628070,3001,0,625069,0,475123,1321910,0,0
Ethiopia,ETH,8.0,38.0,501157,7574,488171,5412,0,4148,120812698,0,0
Falkland Islands (Malvinas),FLK,-51.75,-59.0,1930,0,1930,0,0,545352,3539,0,0
Faroe Islands,FRO,62.0,-7.0,34658,28,0,34630,0,703959,49233,0,0
Fiji,FJI,-18.0,175.0,69117,885,67226,1006,0,75997,909466,0,0
Finland,FIN,64.0,26.0,1516117,11958,1503989,170,0,272930,5554960,0,0
France,FRA,46.0,2.0,40138560,167642,39970918,0,0,612013,65584518,0,0
French Guiana,GUF,4.0,-53.0,98041,420,11254,86367,6,312065,314169,0,0
French Polynesia,PYF,-15.0,-140.0,79254,650,0,78604,0,278902,284164,0,0
Gabon,GAB,-1.0,11.75,49051,307,48674,70,0,21038,2331533,0,0
Gambia,GMB,13.4667,-16.5667,12626,372,12189,65,0,4935,2558482,0,0
Georgia,GEO,42.0,43.5,1861665,17132,0,1844533,0,469082,3968738,0,0
Germany,DEU,51.0,9.0,38828995,183027,38240600,405368,0,462891,83883596,0,0
Ghana,GHA,8.0,-2.0,171889,1462,170425,2,0,5306,32395450,0,0
Gibraltar,GIB,36.1833,-5.3667,20550,113,0,20437,0,609720,33704,0,0
Greece,GRC,39.0,22.0,6101379,37869,0,6063510,0,591412,10316637,0,0
Greenland,GRL,72.0,-40.0,11971,21,2761,9189,4,210117,56973,0,0
Grenada,GRD,12.1167,-61.6667,19693,238,19358,97,4,173545,113475,0,0
Guadeloupe,GLP,16.25,-61.5833,203235,1021,0,202214,0,508349,399794,0,0
Guatemala,GTM,15.5,-90.25,1291293,20289,1269891,1113,5,69484,18584039,0,0
Guinea,GIN,11.0,-10.0,38572,468,37757,347,0,2782,13865691,0,0
Guinea-Bissau,GNB,12.0,-15.0,9614,177,8929,508,6,4659,2063367,0,0
Guyana,GUY,5.0,-59.0,74137,1300,72013,824,0,93366,794045,0,0
Haiti,HTI,19.0,-72.4167,34667,860,33734,73,0,2968,11680283,0,0
Holy See (Vatican City State),VAT,41.9,12.45,29,0,29,0,0,36295,799,0,0
Honduras,HND,15.0,-86.5,474590,11165,0,463425,0,46432,10221247,0,0
Hong Kong,HKG,22.25,114.1667,2937609,14924,2916005,6680,0,386309,7604299,0,0
Hungary,HUN,47.0,20.0,2230232,49048,2152155,29029,0,232164,9606259,0,0
Iceland,ISL,65.0,-18.0,209906,229,0,209677,0,607731,345393,0,0
India,IND,20.0,77.0,45035393,533570,0,44501823,0,32016,1406631776,0,0
Indonesia,IDN,-5.0,120.0,6829221,162063,6647104,20054,0,24466,279134505,0,0
Iran,IRN,32.0,53.0,7627186,146811,0,7480375,0,88665,86022837,0,0
Iraq,IRQ,33.0,44.0,2465545,25375,2439497,673,0,58474,42164965,0,0
Ireland,IRL,53.0,-8.0,1734582,9491,1724921,170,19,345521,5020199,0,0
Isle of Man,IMN,54.23,-4.55,38008,116,0,37892,0,443335,85732,0,0
Israel,ISR,31.5,34.75,4841772,12707,4798473,30592,0,519169,9326000,0,0
Italy,ITA,42.8333,12.8333,26723249,196487,26361218,165544,22,443445,60262770,0,0
Jamaica,JAM,18.25,-77.5,156869,3756,0,153113,0,52551,2985094,0,0
Japan,JPN,36.0,138.0,33803572,74694,0,33728878,0,269169,125584838,0,0
Jordan,JOR,31.0,36.0,1746997,14122,1731007,1868,59,169597,10300869,0,0
Kazakhstan,KAZ,48.0,68.0,1411831,13848,1383020,14963,24,73514,19205043,0,0
Kenya,KEN,1.0,38.0,344130,5689,337309,1132,0,6122,56215221,0,0
Kiribati,KIR,1.4167,173.0,5085,24,2703,2358,3,41201,123419,0,0
Kuwait,KWT,29.3375,47.6581,667158,2570,0,664588,0,152308,4380326,0,0
Kyrgyzstan,KGZ,41.0,75.0,206897,2991,196406,7500,131,30750,6728271,0,0
Lao People's Democratic Republic,LAO,18.0,105.0,218970,758,0,218212,0,29270,7481023,0,0
Latvia,LVA,57.0,25.0,982505,6715,971406,4384,0,531418,1848837,0,0
Lebanon,LBN,33.8333,35.8333,1243838,10952,1087587,145299,74,186068,6684849,0,0
Lesotho,LSO,-29.5,28.5,36138,723,25980,9435,0,16610,2175699,0,0
Liberia,LBR,6.5,-9.5,8090,295,7783,12,2,1525,5305117,0,0
Libyan Arab Jamahiriya,LBY,25.0,17.0,507274,6437,500835,2,0,72048,7040745,0,0
Liechtenstein,LIE,47.1667,9.5333,21574,94,0,21480,0,562013,38387,0,0
Lithuania,LTU,56.0,24.0,1397806,9897,1387478,431,0,525154,2661708,0,0
Luxembourg,LUX,49.75,6.1667,391232,1232,0,390000,0,609044,642371,0,0
Macao,MAC,22.1667,113.55,27673,123,3487,24063,0,41458,667490,0,0
Macedonia,MKD,41.8333,22.0,350567,9976,337068,3523,0,168436,2081304,0,0
Madagascar,MDG,-20.0,47.0,68486,1426,66862,198,0,2347,29178077,0,0
Malawi,MWI,-13.5,34.0,89535,2686,0,86849,0,4437,20180839,0,0
Malaysia,MYS,2.5,112.5,5278406,37348,5233268,7790,11,159079,33181072,0,0
Maldives,MDV,3.25,73.0,186694,316,163687,22691,25,345100,540985,0,0
Mali,MLI,17.0,-4.0,33164,743,32332,89,0,1544,21473764,0,0
Malta,MLT,35.8333,14.5833,121420,885,120149,386,0,273448,444033,0,0
Marshall Islands,MHL,9.0,168.0,16138,17,16121,0,0,268711,60057,0,0
Martinique,MTQ,14.6667,-61.0,230354,1102,0,229252,0,615777,374087,0,0
Mauritania,MRT,20.0,-12.0,63848,997,62471,380,0,13025,4901981,0,0
