country,cases,deaths,recovered,active,iso3
Afghanistan,52330,2189,41727,8414,AFG
Albania,58316,1181,33634,23501,ALB
Algeria,99610,2756,67127,29727,DZA
Argentina,1625514,43245,1426676,155593,ARG
Armenia,159409,2823,142801,13785,ARM
Australia,118,3,114,1,AUS
Australia,4928,54,0,4874,AUS
Australia,75,0,71,4,AUS
Australia,1253,6,1218,29,AUS
Australia,580,4,565,11,AUS
Australia,234,13,221,0,AUS
Australia,20376,820,19538,18,AUS
Australia,861,9,838,14,AUS
Austria,356063,7486,332952,15625,AUT
Azerbaijan,218700,2641,184422,31637,AZE
Bahamas,7871,170,6230,1471,BHS
Bangladesh,513510,7559,457459,48492,BGD
Barbados,383,7,319,57,BRB
Belarus,194284,1424,175147,17713,BLR
Belgium,646496,19528,0,626968,BEL
Belize,10776,248,9795,733,BLZ
Bhutan,670,0,448,222,BTN
Bolivia,160124,9165,132097,18862,BOL
Bosnia,110985,4050,77225,29710,BIH
Botswana,14805,42,12136,2627,BWA
Brazil,7681032,195072,6848844,637116,BRA
Bulgaria,202266,7576,119527,75163,BGR
Cabo Verde,11840,113,11559,168,CPV
Cambodia,378,0,362,16,KHM
Cameroon,26277,448,24892,937,CMR
Canada,100428,1046,0,99382,CAN
Canada,51990,901,0,51089,CAN
Canada,0,1,0,-1,CAN
Canada,13,0,0,13,CAN
Canada,24700,667,0,24033,CAN
Canada,599,9,0,590,CAN
Canada,390,4,0,386,CAN
Canada,24,0,0,24,CAN
Canada,1486,65,0,1421,CAN
Canada,266,1,0,265,CAN
Canada,189176,4530,0,184646,CAN
Canada,94,0,0,94,CAN
Canada,205661,8356,0,197305,CAN
Canada,13,0,0,13,CAN
Canada,15349,155,0,15194,CAN
Canada,60,1,0,59,CAN
Chile,608973,16608,577382,14983,CHL
China,993,6,986,1,CHN
China,987,9,944,34,CHN
China,590,6,584,0,CHN
China,513,1,488,24,CHN
China,182,2,180,0,CHN
China,2046,8,2010,28,CHN
China,264,2,261,1,CHN
China,147,2,145,0,CHN
China,171,6,165,0,CHN
China,373,6,367,0,CHN
China,964,13,942,9,CHN
China,1299,22,1270,7,CHN
China,8846,148,7813,885,CHN
China,68149,4512,63637,0,CHN
China,1021,4,1016,1,CHN
China,364,1,340,23,CHN
China,684,0,682,2,CHN
China,935,1,934,0,CHN
China,157,2,155,0,CHN
China,351,2,287,62,CHN
China,46,0,46,0,CHN
China,75,0,75,0,CHN
China,18,0,18,0,CHN
China,507,3,490,14,CHN
China,862,7,847,8,CHN
